"population","dataset","soc_id","society_name","society_region","match_method","match_score","geo_distance_km","confidence","reviewed"
"Abkhasian",,,,,"unmatched",,,"none",FALSE
"Adygei","HGDP",,,,"unmatched",,,"none",FALSE
"African_American","KGP","CCMCamer1254","Latin American Spanish","Southwestern Europe","fuzzy",0.9,9055,"low",FALSE
"African_American","KGP","CCMCyaka1272","Yaka (Central African Republic)","West-Central Tropical Africa","fuzzy",0.9,13190,"low",FALSE
"African_American","KGP","Ii1","American Samoans","Southwestern Pacific","fuzzy",0.9,8362,"low",FALSE
"Albanian",,"CCMCalba1267","Albanian","Southeastern Europe","exact",1,90,"high",FALSE
"Aleut",,"B298","Aleut","Subarctic America","exact",1,1966,"high",FALSE
"Aleut",,"Na9","Aleut","Subarctic America","exact",1,1751,"high",FALSE
"Aleut",,"SCCS123","Aleut","Subarctic America","exact",1,1966,"high",FALSE
"Altaian",,"CCMCalba1267","Albanian","Southeastern Europe","fuzzy",0.75,4967,"low",FALSE
"Ami","KGP","Ia9","Ami","Eastern Asia","exact",1,21,"high",FALSE
"Armenian",,"CCMCnucl1235","Eastern Armenian","Caucasus","fuzzy",0.9,151,"medium",FALSE
"Armenian",,"Ci10","Armenians","Caucasus","fuzzy",0.9,151,"medium",FALSE
"Armenian",,"SCCS56","Armenians","Caucasus","fuzzy",0.9,193,"medium",FALSE
"Atayal","KGP","CARNEIRO6_035","Atayal","Eastern Asia","exact",1,74,"high",FALSE
"Atayal","KGP","CCMCatay1247","Atayal","Eastern Asia","exact",1,14,"high",FALSE
"Atayal","KGP","Ia1","Atayal","Eastern Asia","exact",1,74,"high",FALSE
"Atayal","KGP","SCCS113","Atayal","Eastern Asia","exact",1,64,"high",FALSE
"Australian",,,,,"unmatched",,,"none",FALSE
"Balochi","HGDP",,,,"unmatched",,,"none",FALSE
"Bantu",,"CCMCbant1295","Bantu A-B10-B20-B30","West-Central Tropical Africa","fuzzy",0.9,,"medium",FALSE
"BantuHerero","HGDP",,,,"unmatched",,,"none",FALSE
"BantuKenya","HGDP",,,,"unmatched",,,"none",FALSE
"BantuTswana","HGDP",,,,"unmatched",,,"none",FALSE
"Bantu_North","HGDP","CCMCbant1295","Bantu A-B10-B20-B30","West-Central Tropical Africa","fuzzy",0.9,782,"medium",FALSE
"Bantu_South","HGDP","CCMCbant1295","Bantu A-B10-B20-B30","West-Central Tropical Africa","fuzzy",0.9,3988,"medium",FALSE
"Barbados","KGP",,,,"unmatched",,,"none",FALSE
"Basque","HGDP","CCMCbasq1248","Basque","Southwestern Europe","exact",1,,"high",FALSE
"Batwa",,"Ah34","Bata","West Tropical Africa","fuzzy",0.8,,"medium",FALSE
"Bedouin","HGDP",,,,"unmatched",,,"none",FALSE
"BedouinB","HGDP",,,,"unmatched",,,"none",FALSE
"Bengali","KGP","CCMCbeng1280","Bengali","Indian Subcontinent","exact",1,,"high",FALSE
"Bengali","KGP","Ef2","Bengali","Indian Subcontinent","exact",1,,"high",FALSE
"Bergamo","HGDP","Aa4","Bergdama","Southern Africa","fuzzy",0.75,7585,"low",FALSE
"Betsileo",,"Eh10","Betsileo","Western Indian Ocean","exact",1,,"high",FALSE
"Betsimisaraka",,,,,"unmatched",,,"none",FALSE
"Biaka","HGDP","B63","Baka","West-Central Tropical Africa","fuzzy",0.8,259,"medium",FALSE
"Biaka","HGDP","Ai23","Bwaka","West-Central Tropical Africa","fuzzy",0.8,248,"medium",FALSE
"Biaka_Pygmy","HGDP","B63","Baka","West-Central Tropical Africa","fuzzy",0.8,259,"medium",FALSE
"Biaka_Pygmy","HGDP","Ai23","Bwaka","West-Central Tropical Africa","fuzzy",0.8,248,"medium",FALSE
"Borneo",,"B41","Bororo","Brazil","fuzzy",0.667,,"low",FALSE
"Borneo",,"CCMCboro1282","Bororo","Brazil","fuzzy",0.667,,"low",FALSE
"Borneo",,"Si1","Bororo","Brazil","fuzzy",0.667,,"low",FALSE
"Borneo",,"Ai35","Bongo","Northeast Tropical Africa","fuzzy",0.667,,"low",FALSE
"Bougainville","HGDP",,,,"unmatched",,,"none",FALSE
"Brahmin",,,,,"unmatched",,,"none",FALSE
"Brahui","HGDP",,,,"unmatched",,,"none",FALSE
"British","KGP",,,,"unmatched",,,"none",FALSE
"Bulgarian",,"CCMCbulg1262","Bulgarian","Southeastern Europe","exact",1,136,"high",FALSE
"Burmese",,"CCMCnucl1310","Burmese","Indo-China","exact",1,510,"high",FALSE
"Burmese",,"Ei3","Burmese","Indo-China","exact",1,379,"high",FALSE
"Burmese",,"SCCS71","Burmese","Indo-China","exact",1,566,"high",FALSE
"Burunge",,,,,"unmatched",,,"none",FALSE
"Burusho","HGDP","Ee2","Burusho","China","exact",1,105,"high",FALSE
"Burusho","HGDP","SCCS64","Burusho","Indian Subcontinent","exact",1,52,"high",FALSE
"CEPH_Europeans","KGP",,,,"unmatched",,,"none",FALSE
"Cambodian","HGDP",,,,"unmatched",,,"none",FALSE
"Chane",,,,,"unmatched",,,"none",FALSE
"Chechen",,"Ci7","Chechen","Caucasus","exact",1,47,"high",FALSE
"China_Japan","KGP","CARNEIRO4_005","China (Han Dynasty)","China","fuzzy",0.9,,"medium",FALSE
"China_South","KGP","CARNEIRO4_005","China (Han Dynasty)","China","fuzzy",0.9,,"medium",FALSE
